year,school,conference,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offence,ppg_defence,SRS,SOS,ap_pre,ap_high,ap_post,notes
2000,Washington,Pac-10,11,1,.917,7,1,.875,32.3,22.5,16.91,7.57,13,3,3,
2000,Oregon,Pac-10,10,2,.833,7,1,.875,29.3,20.8,13.75,5.08,,5,7,
2000,Stanford,Pac-10,5,6,.455,4,4,.500,23.7,26.7,5.85,8.12,,,,
2000,Arizona State,Pac-10,6,6,.500,3,5,.375,26.1,25.3,5.92,4.75,,,,
2000,UCLA,Pac-10,6,6,.500,3,5,.375,29.4,30.7,7.57,8.32,,6,,
2000,Arizona,Pac-10,5,6,.455,3,5,.375,23.1,21.5,7.80,7.16,,21,,
2000,USC,Pac-10,5,7,.417,2,6,.250,25.8,28.1,4.37,6.45,15,8,,
2000,Washington State,Pac-10,4,7,.364,2,6,.250,25.5,32.2,1.93,6.66,,,,
2000,California,Pac-10,3,8,.273,2,6,.250,22.4,26.8,2.11,7.11,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Florida,SEC (East),10,3,.769,7,1,.875,36.0,21.0,17.61,6.23,9,3,10,
2000,Georgia,SEC (East),8,4,.667,5,3,.625,27.6,17.7,9.97,1.80,10,9,20,
2000,South Carolina,SEC (East),8,4,.667,5,3,.625,23.6,15.1,9.69,2.86,,17,19,
2000,Tennessee,SEC (East),8,4,.667,5,3,.625,31.7,20.6,7.87,1.95,12,11,,
2000,Vanderbilt,SEC (East),3,8,.273,1,7,.125,17.5,24.8,-5.46,1.72,,,,
2000,Kentucky,SEC (East),2,9,.182,0,8,.000,23.1,34.8,-4.97,5.12,,,,
2000,Auburn,SEC (West),9,4,.692,6,2,.750,24.3,20.5,7.64,3.56,,15,18,
2000,LSU,SEC (West),8,4,.667,5,3,.625,26.7,19.6,6.34,2.18,,22,22,
2000,Mississippi State,SEC (West),8,4,.667,4,4,.500,32.5,25.5,10.37,3.37,,13,24,
2000,Ole Miss,SEC (West),7,5,.583,4,4,.500,29.3,27.4,4.18,1.09,18,18,,
2000,Arkansas,SEC (West),6,6,.500,3,5,.375,23.2,24.1,-0.38,1.79,,,,
2000,Alabama,SEC (West),3,8,.273,3,5,.375,20.7,22.4,1.04,4.86,3,3,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Texas Christian,WAC,10,2,.833,7,1,.875,35.9,11.2,11.29,-5.79,20,9,21,
2000,UTEP,WAC,8,4,.667,7,1,.875,31.5,28.0,3.10,-1.49,,,,
2000,Fresno State,WAC,7,5,.583,6,2,.750,26.4,20.9,2.22,-2.04,,,,
2000,San Jose State,WAC,7,5,.583,5,3,.625,31.2,29.8,-0.82,-2.74,,,,
2000,Tulsa,WAC,5,7,.417,4,4,.500,20.0,23.6,-8.77,-4.77,,,,
2000,Rice,WAC,3,8,.273,2,6,.250,21.5,29.3,-7.49,-1.31,,,,
2000,Hawaii,WAC,3,9,.250,2,6,.250,24.5,33.3,-12.52,-4.18,,,,
2000,SMU,WAC,3,9,.250,2,6,.250,15.1,29.3,-13.76,-3.85,,,,
2000,Nevada,WAC,2,10,.167,1,7,.125,17.3,38.7,-18.95,-1.78,,,,
2001,Maryland,ACC,10,2,.833,7,1,.875,34.4,22.2,10.78,1.36,,6,11,
2001,Florida State,ACC,8,4,.667,6,2,.750,33.6,25.3,12.79,6.45,6,6,15,
2001,North Carolina,ACC,8,5,.615,5,3,.625,25.9,20.8,7.52,4.29,,22,,
2001,Georgia Tech,ACC,8,5,.615,4,4,.500,31.2,21.6,7.10,1.95,10,9,24,
2001,Clemson,ACC,7,5,.583,4,4,.500,30.8,28.3,4.34,1.59,19,13,,
2001,North Carolina State,ACC,7,5,.583,4,4,.500,26.6,21.4,6.38,1.05,,,,
2001,Wake Forest,ACC,6,5,.545,3,5,.375,26.5,28.3,0.24,0.87,,,,
2001,Virginia,ACC,5,7,.417,3,5,.375,20.8,27.6,-1.91,2.76,,,,
2001,Duke,ACC,0,11,.000,0,8,.000,19.3,44.6,-16.57,3.16,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Colorado,Big 12 (North),10,3,.769,7,1,.875,31.7,24.5,13.44,6.44,,3,9,
2001,Nebraska,Big 12 (North),11,2,.846,7,1,.875,35.6,17.4,16.48,4.33,4,2,8,
2001,Iowa State,Big 12 (North),7,5,.583,4,4,.500,25.8,20.4,4.12,1.45,,,,
2001,Kansas State,Big 12 (North),6,6,.500,3,5,.375,27.5,17.1,9.63,5.63,13,11,,
2001,Missouri,Big 12 (North),4,7,.364,3,5,.375,21.8,30.0,-1.86,3.69,,,,
2001,Kansas,Big 12 (North),3,8,.273,1,7,.125,16.5,36.2,-5.89,5.75,,,,
2001,Texas,Big 12 (South),11,2,.846,7,1,.875,39.8,15.9,18.67,2.21,5,3,5,
2001,Oklahoma,Big 12 (South),11,2,.846,6,2,.750,30.5,13.0,15.39,2.16,3,2,6,
2001,Texas A&M,Big 12 (South),8,4,.667,4,4,.500,20.7,17.8,5.96,2.63,,24,,
2001,Texas Tech,Big 12 (South),7,5,.583,4,4,.500,33.5,23.4,8.56,2.81,,,,
2001,Oklahoma State,Big 12 (South),4,7,.364,2,6,.250,22.0,25.5,-0.13,3.41,,,,
2001,Baylor,Big 12 (South),3,8,.273,0,8,.000,18.6,32.5,-6.84,2.25,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Miami (FL),Big East,12,0,1.000,7,0,1.000,42.7,9.8,26.17,5.09,2,1,1,
2001,Syracuse,Big East,10,3,.769,6,1,.857,25.7,19.0,13.54,6.23,,14,14,
2001,Boston College,Big East,8,4,.667,4,3,.571,27.3,18.9,10.27,3.19,,21,21,
2001,Virginia Tech,Big East,8,4,.667,4,3,.571,31.3,14.8,12.16,2.16,9,5,18,
2001,Pitt,Big East,7,5,.583,4,3,.571,24.7,20.4,6.31,2.97,,,,
2001,Temple,Big East,4,7,.364,2,5,.286,18.0,27.4,-4.63,2.46,,,,
2001,West Virginia,Big East,3,8,.273,1,6,.143,21.4,24.4,-0.82,4.45,,,,
2001,Rutgers,Big East,2,9,.182,0,7,.000,10.8,36.1,-13.02,0.16,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Illinois,Big Ten,10,2,.833,7,1,.875,32.5,23.8,12.71,3.79,,7,12,
2001,Michigan,Big Ten,8,4,.667,6,2,.750,26.7,19.8,12.65,5.73,12,6,20,
2001,Ohio State,Big Ten,7,5,.583,5,3,.625,26.0,20.3,8.56,3.73,23,21,,
2001,Iowa,Big Ten,7,5,.583,4,4,.500,32.6,21.5,9.96,3.21,,,,
2001,Purdue,Big Ten,6,6,.500,4,4,.500,20.8,23.2,2.95,4.95,,17,,
2001,Indiana,Big Ten,5,6,.455,4,4,.500,27.7,27.1,4.15,5.51,,,,
2001,Penn State,Big Ten,5,6,.455,4,4,.500,22.5,25.5,5.21,7.39,,,,
2001,Michigan State,Big Ten,7,5,.583,3,5,.375,31.2,25.9,6.26,2.93,,22,,
2001,Wisconsin,Big Ten,5,7,.417,3,5,.375,26.1,28.8,2.91,5.33,22,22,,
2001,Minnesota,Big Ten,4,7,.364,2,6,.250,28.0,27.2,-0.70,1.76,,,,
2001,Northwestern,Big Ten,4,7,.364,2,6,.250,29.1,34.4,-1.01,3.26,16,14,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Louisville,CUSA,11,2,.846,6,1,.857,30.3,17.2,8.49,-3.21,,17,17,
2001,Cincinnati,CUSA,7,5,.583,5,2,.714,28.0,24.2,-2.24,-6.07,,,,
2001,UAB,CUSA,6,5,.545,5,2,.714,24.1,18.7,-2.15,-4.61,,,,
2001,East Carolina,CUSA,6,6,.500,5,2,.714,35.1,30.0,2.59,-1.42,,,,
2001,Southern Mississippi,CUSA,6,5,.545,4,3,.571,25.3,16.9,0.84,-2.71,,,,
2001,Texas Christian,CUSA,6,6,.500,4,3,.571,24.1,23.8,-3.79,-4.04,,,,
2001,Memphis,CUSA,5,6,.455,3,4,.429,26.7,25.5,-3.09,-2.09,,,,
2001,Army,CUSA,3,8,.273,2,5,.286,20.8,33.2,-15.40,-5.94,,,,
2001,Tulane,CUSA,3,9,.250,1,6,.143,28.7,41.3,-9.64,-1.98,,,,
2001,Houston,CUSA,0,11,.000,0,7,.000,17.3,39.3,-17.81,0.91,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,South Florida,Ind,8,3,.727,,,,35.2,21.0,1.56,-9.72,,,,
2001,Troy,Ind,7,4,.636,,,,22.4,24.5,-4.32,-5.14,,,,
2001,UCF,Ind,6,5,.545,,,,30.3,18.5,1.11,-4.62,,,,
2001,Notre Dame,Ind,5,6,.455,,,,19.5,19.5,6.00,6.55,18,17,,
2001,Utah State,Ind,4,7,.364,,,,28.7,38.3,-8.39,-1.21,,,,
2001,Connecticut,Ind,2,9,.182,,,,17.5,33.6,-19.66,-7.75,,,,
2001,Navy,Ind,0,10,.000,,,,18.3,34.4,-15.68,-2.68,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Marshall,MAC (East),11,2,.846,8,0,1.000,39.4,28.4,6.32,-5.45,,20,,
2001,Miami (OH),MAC (East),7,5,.583,6,2,.750,26.6,25.8,-1.16,-1.91,,,,
2001,Bowling Green,MAC (East),8,3,.727,5,3,.625,30.3,19.5,4.58,-4.42,,,,
2001,Kent State,MAC (East),6,5,.545,5,3,.625,22.5,25.5,-5.42,-4.88,,,,
2001,Akron,MAC (East),4,7,.364,4,4,.500,25.5,32.7,-9.08,-3.62,,,,
2001,Buffalo,MAC (East),3,8,.273,1,7,.125,18.6,26.0,-17.53,-9.35,,,,
2001,Ohio,MAC (East),1,10,.091,1,7,.125,18.0,29.4,-13.22,-2.22,,,,
2001,Toledo,MAC (West),10,2,.833,5,2,.714,33.9,24.8,3.21,-6.62,,23,23,
2001,Northern Illinois,MAC (West),6,5,.545,4,3,.571,27.5,26.5,-3.67,-4.67,,,,
2001,Ball State,MAC (West),5,6,.455,4,3,.571,24.4,26.9,-9.24,-7.61,,,,
2001,Western Michigan,MAC (West),5,6,.455,4,4,.500,25.2,24.2,-4.19,-4.29,,,,
2001,Central Michigan,MAC (West),3,8,.273,2,6,.250,22.8,31.5,-15.00,-6.55,,,,
2001,Eastern Michigan,MAC (West),2,9,.182,1,6,.143,17.9,32.4,-21.81,-9.45,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,BYU,MWC,12,2,.857,7,0,1.000,44.1,30.3,7.96,-3.11,,8,25,
2001,Colorado State,MWC,7,5,.583,5,2,.714,24.8,22.8,1.91,-0.25,24,24,,
2001,Utah,MWC,8,4,.667,4,3,.571,27.4,17.5,7.86,0.11,,,,
2001,New Mexico,MWC,6,5,.545,4,3,.571,27.6,22.1,-0.60,-3.60,,,,
2001,Air Force,MWC,6,6,.500,3,4,.429,28.1,32.2,-6.30,-3.22,,,,
2001,Nevada-Las Vegas,MWC,4,7,.364,3,4,.429,25.8,24.5,-1.23,-1.50,,,,
2001,San Diego State,MWC,3,8,.273,2,5,.286,16.7,26.4,-9.77,-1.40,,,,
2001,Wyoming,MWC,2,9,.182,0,7,.000,20.8,33.5,-13.75,-2.57,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Oregon,Pac-10,11,1,.917,7,1,.875,34.3,21.3,16.92,4.67,7,2,2,
2001,Washington State,Pac-10,10,2,.833,6,2,.750,35.0,22.4,12.09,0.59,,9,10,
2001,Stanford,Pac-10,9,3,.750,6,2,.750,35.2,28.3,12.13,5.13,,10,16,
2001,Washington,Pac-10,8,4,.667,6,2,.750,29.4,30.8,7.07,6.40,15,8,19,
2001,USC,Pac-10,6,6,.500,5,3,.625,24.8,17.3,8.92,4.67,,,,
2001,UCLA,Pac-10,7,4,.636,4,4,.500,28.8,20.5,12.32,5.95,17,4,,
2001,Oregon State,Pac-10,5,6,.455,3,5,.375,26.1,23.5,3.16,2.62,11,10,,
2001,Arizona,Pac-10,5,6,.455,2,6,.250,29.1,34.3,-1.33,1.94,,,,
2001,Arizona State,Pac-10,4,7,.364,1,7,.125,34.0,32.8,1.25,2.89,,,,
2001,California,Pac-10,1,10,.091,0,8,.000,18.3,39.2,-8.37,7.17,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Tennessee,SEC (East),11,2,.846,7,1,.875,30.8,19.3,19.22,8.83,8,2,4,
2001,Florida,SEC (East),10,2,.833,6,2,.750,44.8,14.8,23.38,5.38,1,1,3,
2001,South Carolina,SEC (East),9,3,.750,5,3,.625,25.8,19.2,12.36,5.03,21,9,13,
2001,Georgia,SEC (East),8,4,.667,5,3,.625,27.6,19.0,11.51,3.60,,15,22,
2001,Kentucky,SEC (East),2,9,.182,1,7,.125,23.5,33.4,-1.15,7.67,,,,
2001,Vanderbilt,SEC (East),2,9,.182,0,8,.000,20.5,36.5,-7.10,4.27,,,,
2001,LSU,SEC (West),10,3,.769,5,3,.625,32.2,23.2,14.33,6.41,14,7,7,
2001,Auburn,SEC (West),7,5,.583,5,3,.625,21.2,23.4,4.95,6.53,,17,,
2001,Ole Miss,SEC (West),7,4,.636,4,4,.500,35.5,28.2,5.64,-0.18,,,,
2001,Alabama,SEC (West),7,5,.583,4,4,.500,26.5,19.3,9.66,4.91,25,25,,
2001,Arkansas,SEC (West),7,5,.583,4,4,.500,24.5,23.3,8.40,6.23,,24,,
2001,Mississippi State,SEC (West),3,8,.273,2,6,.250,17.8,26.2,1.65,7.10,20,17,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Middle Tennessee State,Sun Belt,8,3,.727,5,1,.833,37.1,26.0,-2.32,-10.32,,,,
2001,North Texas,Sun Belt,5,7,.417,5,1,.833,22.9,24.4,-9.11,-6.36,,,,
2001,New Mexico State,Sun Belt,5,7,.417,4,2,.667,23.8,33.3,-10.18,-6.18,,,,
2001,Louisiana,Sun Belt,3,8,.273,2,4,.333,21.3,33.2,-19.08,-9.36,,,,
2001,Arkansas State,Sun Belt,2,9,.182,2,4,.333,16.1,32.5,-22.08,-10.17,,,,
2001,Louisiana-Monroe,Sun Belt,2,9,.182,2,4,.333,13.5,31.9,-21.13,-7.77,,,,
2001,Idaho,Sun Belt,1,10,.091,1,5,.167,28.5,45.0,-20.84,-7.66,,,,
2001,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2001,Louisiana Tech,WAC,7,5,.583,7,1,.875,33.8,32.5,-0.95,-3.36,,,,
2001,Fresno State,WAC,11,3,.786,6,2,.750,40.0,24.6,9.90,-2.02,,8,,
2001,Boise State,WAC,8,4,.667,6,2,.750,34.3,23.3,1.61,-4.97,,,,
2001,Hawaii,WAC,9,3,.750,5,3,.625,40.3,26.5,4.47,-6.53,,,,
2001,Rice,WAC,8,4,.667,5,3,.625,27.8,27.9,-4.35,-6.18,,,,
2001,SMU,WAC,4,7,.364,4,4,.500,20.5,26.8,-8.92,-3.47,,,,
2001,Nevada,WAC,3,8,.273,3,5,.375,26.0,39.2,-9.92,-1.65,,,,
2001,San Jose State,WAC,3,9,.250,3,5,.375,24.6,38.4,-10.66,-0.41,,,,
2001,UTEP,WAC,2,9,.182,1,7,.125,21.4,37.6,-17.85,-5.31,,,,
2001,Tulsa,WAC,1,10,.091,0,8,.000,17.4,35.2,-18.94,-3.75,,,,
2002,Florida State,ACC,9,5,.643,7,1,.875,30.6,21.5,14.86,7.15,3,3,21,
2002,Maryland,ACC,11,3,.786,6,2,.750,32.2,16.3,12.73,0.94,21,13,13,
2002,Virginia,ACC,9,5,.643,6,2,.750,28.7,24.9,8.60,5.10,,22,22,
2002,North Carolina State,ACC,11,3,.786,5,3,.625,32.9,17.0,12.86,0.22,,10,12,
2002,Clemson,ACC,7,6,.538,4,4,.500,25.4,26.8,4.16,4.23,,,,
2002,Georgia Tech,ACC,7,6,.538,4,4,.500,21.5,20.5,4.56,3.86,,,,
2002,Wake Forest,ACC,7,6,.538,3,5,.375,27.4,25.2,4.81,2.89,,,,
2002,North Carolina,ACC,3,9,.250,1,7,.125,18.6,35.1,-5.52,6.15,,,,
2002,Duke,ACC,2,10,.167,0,8,.000,18.9,29.4,-7.05,2.54,,,,
2002,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2002,Colorado,Big 12 (North),9,5,.643,7,1,.875,28.4,23.2,11.77,6.56,7,7,20,
2002,Kansas State,Big 12 (North),11,2,.846,6,2,.750,44.8,11.8,16.49,-0.12,,6,7,
2002,Iowa State,Big 12 (North),7,7,.500,4,4,.500,28.9,28.3,6.17,5.67,,9,,
2002,Nebraska,Big 12 (North),7,7,.500,3,5,.375,27.4,23.9,4.09,2.45,10,8,,
2002,Missouri,Big 12 (North),5,7,.417,2,6,.250,30.0,29.3,3.69,3.77,,,,
2002,Kansas,Big 12 (North),2,10,.167,0,8,.000,20.7,42.3,-14.87,0.05,,,,
2002,Oklahoma,Big 12 (South),12,2,.857,6,2,.750,38.6,15.4,19.02,4.31,2,1,5,
2002,Texas,Big 12 (South),11,2,.846,6,2,.750,33.8,16.3,17.32,4.01,4,2,6,
2002,Texas Tech,Big 12 (South),9,5,.643,5,3,.625,38.4,31.4,9.53,5.60,,24,,
2002,Oklahoma State,Big 12 (South),8,5,.615,5,3,.625,34.3,27.4,4.81,0.66,,,,
2002,Texas A&M,Big 12 (South),6,6,.500,3,5,.375,28.8,23.3,6.40,2.40,23,19,,
2002,Baylor,Big 12 (South),3,9,.250,1,7,.125,16.8,41.3,-11.02,3.31,,,,
2002,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2002,Miami (FL),Big East,12,1,.923,7,0,1.000,40.5,19.1,20.35,3.04,1,1,2,
2002,West Virginia,Big East,9,4,.692,6,1,.857,30.5,23.2,7.30,2.30,,15,25,
2002,Pitt,Big East,9,4,.692,5,2,.714,25.5,17.8,9.99,2.45,,17,19,
2002,Virginia Tech,Big East,10,4,.714,3,4,.429,30.6,18.8,11.16,2.31,16,3,18,
2002,Boston College,Big East,9,4,.692,3,4,.429,30.2,19.5,9.22,0.53,,,,
2002,Syracuse,Big East,4,8,.333,2,5,.286,28.9,33.8,-4.63,1.45,,,,
