team,year,group,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offense,ppg_defense,SRS,SOS
Oklahoma State,2000,2,3.0,8.0,0.273,1.0,7.0,0.125,18.4,27.5,-3.18,2.63
Baylor,2000,2,2.0,9.0,0.182,0.0,8.0,0.0,12.6,36.1,-11.48,4.71
Miami FL,2000,0,11.0,1.0,0.917,7.0,0.0,1.0,42.2,15.8,23.22,5.22
Virginia Tech,2000,0,11.0,1.0,0.917,6.0,1.0,0.857,40.3,22.4,19.42,4.0
Pitt,2000,1,7.0,5.0,0.583,4.0,3.0,0.571,24.7,20.6,5.68,1.93
Syracuse,2000,1,6.0,5.0,0.545,4.0,3.0,0.571,26.7,19.3,6.94,3.12
Boston College,2000,1,7.0,5.0,0.583,3.0,4.0,0.429,31.5,23.1,6.3,1.72
West Virginia,2000,1,7.0,5.0,0.583,3.0,4.0,0.429,29.7,30.3,6.29,5.54
Temple,2000,2,4.0,7.0,0.364,1.0,6.0,0.143,20.4,24.5,-3.09,1.36
Rutgers,2000,2,3.0,8.0,0.273,0.0,7.0,0.0,21.2,36.3,-8.67,2.15
Michigan,2000,0,9.0,3.0,0.75,6.0,2.0,0.75,33.7,19.1,12.93,2.93
Northwestern,2000,0,8.0,4.0,0.667,6.0,2.0,0.75,36.8,33.3,8.85,4.26
Purdue,2000,0,8.0,4.0,0.667,6.0,2.0,0.75,31.8,22.2,9.26,2.93
Ohio State,2000,0,8.0,4.0,0.667,5.0,3.0,0.625,27.6,18.5,10.97,4.13
Wisconsin,2000,1,9.0,4.0,0.692,4.0,4.0,0.5,25.2,20.4,9.65,4.42
Minnesota,2000,1,6.0,6.0,0.5,4.0,4.0,0.5,31.3,26.5,3.02,0.1
Penn State,2000,1,5.0,7.0,0.417,4.0,4.0,0.5,22.0,24.4,-0.05,3.71
Iowa,2000,2,3.0,9.0,0.25,3.0,5.0,0.375,16.9,27.5,-2.4,6.86
Illinois,2000,1,5.0,6.0,0.455,2.0,6.0,0.25,26.7,26.0,2.59,2.31
Michigan State,2000,1,5.0,6.0,0.455,2.0,6.0,0.25,17.9,21.2,2.79,5.52
Indiana,2000,2,3.0,8.0,0.273,2.0,6.0,0.25,30.6,38.8,-2.67,3.88
Boise State,2000,0,10.0,2.0,0.833,5.0,0.0,1.0,44.3,22.8,6.78,-8.8
Utah State,2000,1,5.0,6.0,0.455,4.0,1.0,0.8,26.5,32.4,-11.16,-5.53
Idaho,2000,1,5.0,6.0,0.455,3.0,2.0,0.6,29.2,34.3,-7.41,-3.23
New Mexico State,2000,2,3.0,8.0,0.273,1.0,4.0,0.2,26.8,32.5,-8.82,-4.0
North Texas,2000,2,3.0,8.0,0.273,1.0,4.0,0.2,14.7,27.3,-13.51,-5.69
Arkansas State,2000,2,1.0,10.0,0.091,1.0,4.0,0.2,22.5,37.3,-13.4,-1.58
Louisville,2000,0,9.0,3.0,0.75,6.0,1.0,0.857,33.8,22.3,7.37,-2.22
East Carolina,2000,0,8.0,4.0,0.667,5.0,2.0,0.714,30.8,21.3,6.93,-0.07
Cincinnati,2000,1,7.0,5.0,0.583,5.0,2.0,0.714,24.1,23.8,-0.11,-1.61
Southern Mississippi,2000,1,8.0,4.0,0.667,4.0,3.0,0.571,26.2,16.9,7.44,-0.14
UAB,2000,1,7.0,4.0,0.636,3.0,3.0,0.5,21.6,17.5,-0.69,-3.6
Tulane,2000,1,6.0,5.0,0.545,3.0,4.0,0.429,29.9,31.5,-5.54,-5.27
Memphis,2000,2,4.0,7.0,0.364,2.0,5.0,0.286,16.0,18.1,-7.05,-3.6
Houston,2000,2,3.0,8.0,0.273,2.0,5.0,0.286,19.2,33.6,-10.67,-0.67
Army,2000,2,1.0,10.0,0.091,1.0,6.0,0.143,20.4,33.8,-15.26,-2.26
Notre Dame,2000,1,9.0,3.0,0.75,0.0,0.0,0.0,29.4,22.3,12.45,5.12
South Florida,2000,1,7.0,4.0,0.636,0.0,0.0,0.0,25.3,18.3,-8.94,-12.13
UCF,2000,1,7.0,4.0,0.636,0.0,0.0,0.0,30.3,20.1,-1.83,-7.1
Middle Tennessee State,2000,1,6.0,5.0,0.545,0.0,0.0,0.0,31.8,28.7,-4.5,-6.5
Connecticut,2000,2,3.0,8.0,0.273,0.0,0.0,0.0,20.0,33.5,-16.91,-9.36
Louisiana Tech,2000,2,3.0,9.0,0.25,0.0,0.0,0.0,26.4,33.0,-10.72,-5.3
Louisiana,2000,2,1.0,10.0,0.091,0.0,0.0,0.0,15.5,32.3,-21.67,-8.58
Louisiana Monroe,2000,2,1.0,10.0,0.091,0.0,0.0,0.0,8.7,37.7,-26.52,-7.89
Navy,2000,2,1.0,10.0,0.091,0.0,0.0,0.0,16.5,35.5,-15.36,0.73
Marshall,2000,1,8.0,5.0,0.615,5.0,3.0,0.625,28.2,22.8,-0.9,-4.83
Ohio,2000,1,7.0,4.0,0.636,5.0,3.0,0.625,31.2,18.9,-0.88,-8.24
Akron,2000,1,6.0,5.0,0.545,5.0,3.0,0.625,30.3,26.8,-5.38,-7.65
Miami OH,2000,1,6.0,5.0,0.545,5.0,3.0,0.625,24.7,26.0,-7.92,-7.65
Bowling Green,2000,2,2.0,9.0,0.182,2.0,6.0,0.25,15.8,26.3,-13.95,-4.49
Buffalo,2000,2,2.0,9.0,0.182,2.0,6.0,0.25,16.1,41.1,-21.01,-7.28
Kent State,2000,2,1.0,10.0,0.091,1.0,7.0,0.125,11.6,32.6,-22.09,-5.82
Western Michigan,2000,0,9.0,3.0,0.75,7.0,1.0,0.875,29.9,11.6,5.96,-5.79
Toledo,2000,0,10.0,1.0,0.909,6.0,1.0,0.857,36.4,11.4,8.63,-9.28
Northern Illinois,2000,1,6.0,5.0,0.545,4.0,3.0,0.571,37.2,25.5,-0.39,-5.21
Ball State,2000,1,5.0,6.0,0.455,4.0,3.0,0.571,19.3,31.7,-9.96,-4.41
Eastern Michigan,2000,2,3.0,8.0,0.273,2.0,5.0,0.286,19.0,31.8,-15.4,-4.31
Central Michigan,2000,2,2.0,9.0,0.182,2.0,6.0,0.25,12.5,34.2,-17.66,-3.66
Colorado State,2000,0,10.0,2.0,0.833,6.0,1.0,0.857,30.3,18.8,7.21,-3.54
Air Force,2000,0,9.0,3.0,0.75,5.0,2.0,0.714,35.1,26.0,2.84,-4.33
UNLV,2000,1,8.0,5.0,0.615,4.0,3.0,0.571,28.5,21.2,1.23,-4.0
BYU,2000,1,6.0,6.0,0.5,4.0,3.0,0.571,23.3,25.8,-0.66,1.17
New Mexico,2000,1,5.0,7.0,0.417,3.0,4.0,0.429,19.1,20.8,-4.0,-0.75
Utah,2000,1,4.0,7.0,0.364,3.0,4.0,0.429,21.3,18.8,-0.19,-1.37
San Diego State,2000,2,3.0,8.0,0.273,3.0,4.0,0.429,15.5,24.8,-5.61,2.12
Wyoming,2000,2,1.0,10.0,0.091,0.0,7.0,0.0,15.5,35.7,-16.79,-1.52
Oregon State,2000,0,11.0,1.0,0.917,7.0,1.0,0.875,33.3,17.7,17.33,3.83
Washington,2000,0,11.0,1.0,0.917,7.0,1.0,0.875,32.3,22.5,16.91,7.57
Oregon,2000,0,10.0,2.0,0.833,7.0,1.0,0.875,29.3,20.8,13.75,5.08
Stanford,2000,1,5.0,6.0,0.455,4.0,4.0,0.5,23.7,26.7,5.85,8.12
Arizona State,2000,1,6.0,6.0,0.5,3.0,5.0,0.375,26.1,25.3,5.92,4.75
UCLA,2000,1,6.0,6.0,0.5,3.0,5.0,0.375,29.4,30.7,7.57,8.32
Arizona,2000,1,5.0,6.0,0.455,3.0,5.0,0.375,23.1,21.5,7.8,7.16
USC,2000,1,5.0,7.0,0.417,2.0,6.0,0.25,25.8,28.1,4.37,6.45
Washington State,2000,2,4.0,7.0,0.364,2.0,6.0,0.25,25.5,32.2,1.93,6.66
California,2000,2,3.0,8.0,0.273,2.0,6.0,0.25,22.4,26.8,2.11,7.11
Florida,2000,0,10.0,3.0,0.769,7.0,1.0,0.875,36.0,21.0,17.61,6.23
Georgia,2000,0,8.0,4.0,0.667,5.0,3.0,0.625,27.6,17.7,9.97,1.8
South Carolina,2000,0,8.0,4.0,0.667,5.0,3.0,0.625,23.6,15.1,9.69,2.86
Tennessee,2000,0,8.0,4.0,0.667,5.0,3.0,0.625,31.7,20.6,7.87,1.95
Vanderbilt,2000,2,3.0,8.0,0.273,1.0,7.0,0.125,17.5,24.8,-5.46,1.72
Kentucky,2000,2,2.0,9.0,0.182,0.0,8.0,0.0,23.1,34.8,-4.97,5.12
Auburn,2000,0,9.0,4.0,0.692,6.0,2.0,0.75,24.3,20.5,7.64,3.56
LSU,2000,1,8.0,4.0,0.667,5.0,3.0,0.625,26.7,19.6,6.34,2.18
Mississippi State,2000,1,8.0,4.0,0.667,4.0,4.0,0.5,32.5,25.5,10.37,3.37
Ole Miss,2000,1,7.0,5.0,0.583,4.0,4.0,0.5,29.3,27.4,4.18,1.09
Arkansas,2000,1,6.0,6.0,0.5,3.0,5.0,0.375,23.2,24.1,-0.38,1.79
Alabama,2000,2,3.0,8.0,0.273,3.0,5.0,0.375,20.7,22.4,1.04,4.86
Texas Christian,2000,0,10.0,2.0,0.833,7.0,1.0,0.875,35.9,11.2,11.29,-5.79
UTEP,2000,0,8.0,4.0,0.667,7.0,1.0,0.875,31.5,28.0,3.1,-1.49
Fresno State,2000,1,7.0,5.0,0.583,6.0,2.0,0.75,26.4,20.9,2.22,-2.04
San Jose State,2000,1,7.0,5.0,0.583,5.0,3.0,0.625,31.2,29.8,-0.82,-2.74
Tulsa,2000,1,5.0,7.0,0.417,4.0,4.0,0.5,20.0,23.6,-8.77,-4.77
Rice,2000,2,3.0,8.0,0.273,2.0,6.0,0.25,21.5,29.3,-7.49,-1.31
Hawaii,2000,2,3.0,9.0,0.25,2.0,6.0,0.25,24.5,33.3,-12.52,-4.18
SMU,2000,2,3.0,9.0,0.25,2.0,6.0,0.25,15.1,29.3,-13.76,-3.85
Nevada,2000,2,2.0,10.0,0.167,1.0,7.0,0.125,17.3,38.7,-18.95,-1.78
Maryland,2001,0,10.0,2.0,0.833,7.0,1.0,0.875,34.4,22.2,10.78,1.36
Florida State,2001,0,8.0,4.0,0.667,6.0,2.0,0.75,33.6,25.3,12.79,6.45
North Carolina,2001,1,8.0,5.0,0.615,5.0,3.0,0.625,25.9,20.8,7.52,4.29
Georgia Tech,2001,1,8.0,5.0,0.615,4.0,4.0,0.5,31.2,21.6,7.1,1.95
Clemson,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,30.8,28.3,4.34,1.59
North Carolina State,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,26.6,21.4,6.38,1.05
Wake Forest,2001,1,6.0,5.0,0.545,3.0,5.0,0.375,26.5,28.3,0.24,0.87
Virginia,2001,1,5.0,7.0,0.417,3.0,5.0,0.375,20.8,27.6,-1.91,2.76
Duke,2001,2,0.0,11.0,0.0,0.0,8.0,0.0,19.3,44.6,-16.57,3.16
Colorado,2001,0,10.0,3.0,0.769,7.0,1.0,0.875,31.7,24.5,13.44,6.44
Nebraska,2001,0,11.0,2.0,0.846,7.0,1.0,0.875,35.6,17.4,16.48,4.33
Iowa State,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,25.8,20.4,4.12,1.45
Kansas State,2001,1,6.0,6.0,0.5,3.0,5.0,0.375,27.5,17.1,9.63,5.63
Missouri,2001,2,4.0,7.0,0.364,3.0,5.0,0.375,21.8,30.0,-1.86,3.69
Kansas,2001,2,3.0,8.0,0.273,1.0,7.0,0.125,16.5,36.2,-5.89,5.75
Texas,2001,0,11.0,2.0,0.846,7.0,1.0,0.875,39.8,15.9,18.67,2.21
Oklahoma,2001,0,11.0,2.0,0.846,6.0,2.0,0.75,30.5,13.0,15.39,2.16
Texas A&M,2001,1,8.0,4.0,0.667,4.0,4.0,0.5,20.7,17.8,5.96,2.63
Texas Tech,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,33.5,23.4,8.56,2.81
Oklahoma State,2001,2,4.0,7.0,0.364,2.0,6.0,0.25,22.0,25.5,-0.13,3.41
Baylor,2001,2,3.0,8.0,0.273,0.0,8.0,0.0,18.6,32.5,-6.84,2.25
Miami FL,2001,0,12.0,0.0,1.0,7.0,0.0,1.0,42.7,9.8,26.17,5.09
Syracuse,2001,0,10.0,3.0,0.769,6.0,1.0,0.857,25.7,19.0,13.54,6.23
Boston College,2001,1,8.0,4.0,0.667,4.0,3.0,0.571,27.3,18.9,10.27,3.19
Virginia Tech,2001,0,8.0,4.0,0.667,4.0,3.0,0.571,31.3,14.8,12.16,2.16
Pitt,2001,1,7.0,5.0,0.583,4.0,3.0,0.571,24.7,20.4,6.31,2.97
Temple,2001,2,4.0,7.0,0.364,2.0,5.0,0.286,18.0,27.4,-4.63,2.46
West Virginia,2001,2,3.0,8.0,0.273,1.0,6.0,0.143,21.4,24.4,-0.82,4.45
Rutgers,2001,2,2.0,9.0,0.182,0.0,7.0,0.0,10.8,36.1,-13.02,0.16
Illinois,2001,0,10.0,2.0,0.833,7.0,1.0,0.875,32.5,23.8,12.71,3.79
Michigan,2001,0,8.0,4.0,0.667,6.0,2.0,0.75,26.7,19.8,12.65,5.73
Ohio State,2001,1,7.0,5.0,0.583,5.0,3.0,0.625,26.0,20.3,8.56,3.73
Iowa,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,32.6,21.5,9.96,3.21
Purdue,2001,1,6.0,6.0,0.5,4.0,4.0,0.5,20.8,23.2,2.95,4.95
Indiana,2001,1,5.0,6.0,0.455,4.0,4.0,0.5,27.7,27.1,4.15,5.51
Penn State,2001,1,5.0,6.0,0.455,4.0,4.0,0.5,22.5,25.5,5.21,7.39
Michigan State,2001,1,7.0,5.0,0.583,3.0,5.0,0.375,31.2,25.9,6.26,2.93
Wisconsin,2001,1,5.0,7.0,0.417,3.0,5.0,0.375,26.1,28.8,2.91,5.33
Minnesota,2001,2,4.0,7.0,0.364,2.0,6.0,0.25,28.0,27.2,-0.7,1.76
Northwestern,2001,2,4.0,7.0,0.364,2.0,6.0,0.25,29.1,34.4,-1.01,3.26
Louisville,2001,0,11.0,2.0,0.846,6.0,1.0,0.857,30.3,17.2,8.49,-3.21
Cincinnati,2001,1,7.0,5.0,0.583,5.0,2.0,0.714,28.0,24.2,-2.24,-6.07
UAB,2001,1,6.0,5.0,0.545,5.0,2.0,0.714,24.1,18.7,-2.15,-4.61
East Carolina,2001,1,6.0,6.0,0.5,5.0,2.0,0.714,35.1,30.0,2.59,-1.42
Southern Mississippi,2001,1,6.0,5.0,0.545,4.0,3.0,0.571,25.3,16.9,0.84,-2.71
Texas Christian,2001,1,6.0,6.0,0.5,4.0,3.0,0.571,24.1,23.8,-3.79,-4.04
Memphis,2001,1,5.0,6.0,0.455,3.0,4.0,0.429,26.7,25.5,-3.09,-2.09
Army,2001,2,3.0,8.0,0.273,2.0,5.0,0.286,20.8,33.2,-15.4,-5.94
Tulane,2001,2,3.0,9.0,0.25,1.0,6.0,0.143,28.7,41.3,-9.64,-1.98
Houston,2001,2,0.0,11.0,0.0,0.0,7.0,0.0,17.3,39.3,-17.81,0.91
South Florida,2001,1,8.0,3.0,0.727,0.0,0.0,0.0,35.2,21.0,1.56,-9.72
Troy,2001,1,7.0,4.0,0.636,0.0,0.0,0.0,22.4,24.5,-4.32,-5.14
UCF,2001,1,6.0,5.0,0.545,0.0,0.0,0.0,30.3,18.5,1.11,-4.62
Notre Dame,2001,1,5.0,6.0,0.455,0.0,0.0,0.0,19.5,19.5,6.0,6.55
Utah State,2001,2,4.0,7.0,0.364,0.0,0.0,0.0,28.7,38.3,-8.39,-1.21
Connecticut,2001,2,2.0,9.0,0.182,0.0,0.0,0.0,17.5,33.6,-19.66,-7.75
Navy,2001,2,0.0,10.0,0.0,0.0,0.0,0.0,18.3,34.4,-15.68,-2.68
Marshall,2001,0,11.0,2.0,0.846,8.0,0.0,1.0,39.4,28.4,6.32,-5.45
Miami OH,2001,1,7.0,5.0,0.583,6.0,2.0,0.75,26.6,25.8,-1.16,-1.91
Bowling Green,2001,0,8.0,3.0,0.727,5.0,3.0,0.625,30.3,19.5,4.58,-4.42
Kent State,2001,1,6.0,5.0,0.545,5.0,3.0,0.625,22.5,25.5,-5.42,-4.88
Akron,2001,1,4.0,7.0,0.364,4.0,4.0,0.5,25.5,32.7,-9.08,-3.62
Buffalo,2001,2,3.0,8.0,0.273,1.0,7.0,0.125,18.6,26.0,-17.53,-9.35
Ohio,2001,2,1.0,10.0,0.091,1.0,7.0,0.125,18.0,29.4,-13.22,-2.22
Toledo,2001,0,10.0,2.0,0.833,5.0,2.0,0.714,33.9,24.8,3.21,-6.62
Northern Illinois,2001,1,6.0,5.0,0.545,4.0,3.0,0.571,27.5,26.5,-3.67,-4.67
Ball State,2001,1,5.0,6.0,0.455,4.0,3.0,0.571,24.4,26.9,-9.24,-7.61
Western Michigan,2001,1,5.0,6.0,0.455,4.0,4.0,0.5,25.2,24.2,-4.19,-4.29
Central Michigan,2001,2,3.0,8.0,0.273,2.0,6.0,0.25,22.8,31.5,-15.0,-6.55
Eastern Michigan,2001,2,2.0,9.0,0.182,1.0,6.0,0.143,17.9,32.4,-21.81,-9.45
BYU,2001,0,12.0,2.0,0.857,7.0,0.0,1.0,44.1,30.3,7.96,-3.11
Colorado State,2001,1,7.0,5.0,0.583,5.0,2.0,0.714,24.8,22.8,1.91,-0.25
Utah,2001,1,8.0,4.0,0.667,4.0,3.0,0.571,27.4,17.5,7.86,0.11
New Mexico,2001,1,6.0,5.0,0.545,4.0,3.0,0.571,27.6,22.1,-0.6,-3.6
Air Force,2001,1,6.0,6.0,0.5,3.0,4.0,0.429,28.1,32.2,-6.3,-3.22
UNLV,2001,1,4.0,7.0,0.364,3.0,4.0,0.429,25.8,24.5,-1.23,-1.5
San Diego State,2001,2,3.0,8.0,0.273,2.0,5.0,0.286,16.7,26.4,-9.77,-1.4
Wyoming,2001,2,2.0,9.0,0.182,0.0,7.0,0.0,20.8,33.5,-13.75,-2.57
Oregon,2001,0,11.0,1.0,0.917,7.0,1.0,0.875,34.3,21.3,16.92,4.67
Washington State,2001,0,10.0,2.0,0.833,6.0,2.0,0.75,35.0,22.4,12.09,0.59
Stanford,2001,0,9.0,3.0,0.75,6.0,2.0,0.75,35.2,28.3,12.13,5.13
Washington,2001,0,8.0,4.0,0.667,6.0,2.0,0.75,29.4,30.8,7.07,6.4
USC,2001,1,6.0,6.0,0.5,5.0,3.0,0.625,24.8,17.3,8.92,4.67
UCLA,2001,1,7.0,4.0,0.636,4.0,4.0,0.5,28.8,20.5,12.32,5.95
Oregon State,2001,1,5.0,6.0,0.455,3.0,5.0,0.375,26.1,23.5,3.16,2.62
Arizona,2001,1,5.0,6.0,0.455,2.0,6.0,0.25,29.1,34.3,-1.33,1.94
Arizona State,2001,2,4.0,7.0,0.364,1.0,7.0,0.125,34.0,32.8,1.25,2.89
California,2001,2,1.0,10.0,0.091,0.0,8.0,0.0,18.3,39.2,-8.37,7.17
Tennessee,2001,0,11.0,2.0,0.846,7.0,1.0,0.875,30.8,19.3,19.22,8.83
Florida,2001,0,10.0,2.0,0.833,6.0,2.0,0.75,44.8,14.8,23.38,5.38
South Carolina,2001,0,9.0,3.0,0.75,5.0,3.0,0.625,25.8,19.2,12.36,5.03
Georgia,2001,0,8.0,4.0,0.667,5.0,3.0,0.625,27.6,19.0,11.51,3.6
Kentucky,2001,2,2.0,9.0,0.182,1.0,7.0,0.125,23.5,33.4,-1.15,7.67
Vanderbilt,2001,2,2.0,9.0,0.182,0.0,8.0,0.0,20.5,36.5,-7.1,4.27
LSU,2001,0,10.0,3.0,0.769,5.0,3.0,0.625,32.2,23.2,14.33,6.41
Auburn,2001,1,7.0,5.0,0.583,5.0,3.0,0.625,21.2,23.4,4.95,6.53
Ole Miss,2001,1,7.0,4.0,0.636,4.0,4.0,0.5,35.5,28.2,5.64,-0.18
Alabama,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,26.5,19.3,9.66,4.91
Arkansas,2001,1,7.0,5.0,0.583,4.0,4.0,0.5,24.5,23.3,8.4,6.23
Mississippi State,2001,2,3.0,8.0,0.273,2.0,6.0,0.25,17.8,26.2,1.65,7.1
Middle Tennessee State,2001,0,8.0,3.0,0.727,5.0,1.0,0.833,37.1,26.0,-2.32,-10.32
North Texas,2001,1,5.0,7.0,0.417,5.0,1.0,0.833,22.9,24.4,-9.11,-6.36
New Mexico State,2001,1,5.0,7.0,0.417,4.0,2.0,0.667,23.8,33.3,-10.18,-6.18
Louisiana,2001,2,3.0,8.0,0.273,2.0,4.0,0.333,21.3,33.2,-19.08,-9.36
Arkansas State,2001,2,2.0,9.0,0.182,2.0,4.0,0.333,16.1,32.5,-22.08,-10.17
Louisiana Monroe,2001,2,2.0,9.0,0.182,2.0,4.0,0.333,13.5,31.9,-21.13,-7.77
Idaho,2001,2,1.0,10.0,0.091,1.0,5.0,0.167,28.5,45.0,-20.84,-7.66
Louisiana Tech,2001,1,7.0,5.0,0.583,7.0,1.0,0.875,33.8,32.5,-0.95,-3.36
Fresno State,2001,0,11.0,3.0,0.786,6.0,2.0,0.75,40.0,24.6,9.9,-2.02
Boise State,2001,0,8.0,4.0,0.667,6.0,2.0,0.75,34.3,23.3,1.61,-4.97
Hawaii,2001,0,9.0,3.0,0.75,5.0,3.0,0.625,40.3,26.5,4.47,-6.53
Rice,2001,1,8.0,4.0,0.667,5.0,3.0,0.625,27.8,27.9,-4.35,-6.18
SMU,2001,1,4.0,7.0,0.364,4.0,4.0,0.5,20.5,26.8,-8.92,-3.47
Nevada,2001,2,3.0,8.0,0.273,3.0,5.0,0.375,26.0,39.2,-9.92,-1.65
San Jose State,2001,2,3.0,9.0,0.25,3.0,5.0,0.375,24.6,38.4,-10.66,-0.41
UTEP,2001,2,2.0,9.0,0.182,1.0,7.0,0.125,21.4,37.6,-17.85,-5.31
Tulsa,2001,2,1.0,10.0,0.091,0.0,8.0,0.0,17.4,35.2,-18.94,-3.75
Florida State,2002,0,9.0,5.0,0.643,7.0,1.0,0.875,30.6,21.5,14.86,7.15
Maryland,2002,0,11.0,3.0,0.786,6.0,2.0,0.75,32.2,16.3,12.73,0.94
Virginia,2002,0,9.0,5.0,0.643,6.0,2.0,0.75,28.7,24.9,8.6,5.1
North Carolina State,2002,0,11.0,3.0,0.786,5.0,3.0,0.625,32.9,17.0,12.86,0.22
Clemson,2002,1,7.0,6.0,0.538,4.0,4.0,0.5,25.4,26.8,4.16,4.23
Georgia Tech,2002,1,7.0,6.0,0.538,4.0,4.0,0.5,21.5,20.5,4.56,3.86
Wake Forest,2002,1,7.0,6.0,0.538,3.0,5.0,0.375,27.4,25.2,4.81,2.89
North Carolina,2002,2,3.0,9.0,0.25,1.0,7.0,0.125,18.6,35.1,-5.52,6.15
Duke,2002,2,2.0,10.0,0.167,0.0,8.0,0.0,18.9,29.4,-7.05,2.54
Colorado,2002,0,9.0,5.0,0.643,7.0,1.0,0.875,28.4,23.2,11.77,6.56
Kansas State,2002,0,11.0,2.0,0.846,6.0,2.0,0.75,44.8,11.8,16.49,-0.12
Iowa State,2002,1,7.0,7.0,0.5,4.0,4.0,0.5,28.9,28.3,6.17,5.67
Nebraska,2002,1,7.0,7.0,0.5,3.0,5.0,0.375,27.4,23.9,4.09,2.45
Missouri,2002,1,5.0,7.0,0.417,2.0,6.0,0.25,30.0,29.3,3.69,3.77
Kansas,2002,2,2.0,10.0,0.167,0.0,8.0,0.0,20.7,42.3,-14.87,0.05
Oklahoma,2002,0,12.0,2.0,0.857,6.0,2.0,0.75,38.6,15.4,19.02,4.31
Texas,2002,0,11.0,2.0,0.846,6.0,2.0,0.75,33.8,16.3,17.32,4.01
Texas Tech,2002,0,9.0,5.0,0.643,5.0,3.0,0.625,38.4,31.4,9.53,5.6
Oklahoma State,2002,1,8.0,5.0,0.615,5.0,3.0,0.625,34.3,27.4,4.81,0.66
Texas A&M,2002,1,6.0,6.0,0.5,3.0,5.0,0.375,28.8,23.3,6.4,2.4
Baylor,2002,2,3.0,9.0,0.25,1.0,7.0,0.125,16.8,41.3,-11.02,3.31
Miami FL,2002,0,12.0,1.0,0.923,7.0,0.0,1.0,40.5,19.1,20.35,3.04
West Virginia,2002,0,9.0,4.0,0.692,6.0,1.0,0.857,30.5,23.2,7.3,2.3
Pitt,2002,0,9.0,4.0,0.692,5.0,2.0,0.714,25.5,17.8,9.99,2.45
Virginia Tech,2002,1,10.0,4.0,0.714,3.0,4.0,0.429,30.6,18.8,11.16,2.31
Boston College,2002,1,9.0,4.0,0.692,3.0,4.0,0.429,30.2,19.5,9.22,0.53
Syracuse,2002,2,4.0,8.0,0.333,2.0,5.0,0.286,28.9,33.8,-4.63,1.45
Temple,2002,2,4.0,8.0,0.333,2.0,5.0,0.286,20.2,29.3,-5.22,2.44
Rutgers,2002,2,1.0,11.0,0.083,0.0,7.0,0.0,13.9,33.1,-16.85,0.32
Ohio State,2002,0,14.0,0.0,1.0,8.0,0.0,1.0,29.3,13.1,18.13,3.99
Iowa,2002,0,11.0,2.0,0.846,8.0,0.0,1.0,37.2,19.7,15.94,2.87
Michigan,2002,0,10.0,3.0,0.769,6.0,2.0,0.75,27.8,20.4,13.44,6.82
Penn State,2002,0,9.0,4.0,0.692,5.0,3.0,0.625,34.3,17.5,14.59,3.98
Purdue,2002,1,7.0,6.0,0.538,4.0,4.0,0.5,29.7,22.2,7.59,2.44
Illinois,2002,1,5.0,7.0,0.417,4.0,4.0,0.5,28.8,25.6,2.56,2.89
Minnesota,2002,1,8.0,5.0,0.615,3.0,5.0,0.375,28.9,24.5,5.02,1.17
